
========== Fold 1/10 ==========
Fold 01 | Epoch 01/50 | Train: 0.063712 | Val: 0.056098
Fold 01 | Epoch 02/50 | Train: 0.052293 | Val: 0.047837
Fold 01 | Epoch 03/50 | Train: 0.044143 | Val: 0.039227
Fold 01 | Epoch 04/50 | Train: 0.035508 | Val: 0.032735
Fold 01 | Epoch 05/50 | Train: 0.031201 | Val: 0.030203
Fold 01 | Epoch 06/50 | Train: 0.029153 | Val: 0.028566
Fold 01 | Epoch 07/50 | Train: 0.027355 | Val: 0.026916
Fold 01 | Epoch 08/50 | Train: 0.025552 | Val: 0.024957
Fold 01 | Epoch 09/50 | Train: 0.024028 | Val: 0.023599
Fold 01 | Epoch 10/50 | Train: 0.022728 | Val: 0.022421
Fold 01 | Epoch 11/50 | Train: 0.021742 | Val: 0.021504
Fold 01 | Epoch 12/50 | Train: 0.020715 | Val: 0.020577
Fold 01 | Epoch 13/50 | Train: 0.019806 | Val: 0.019779
Fold 01 | Epoch 14/50 | Train: 0.018975 | Val: 0.018935
Fold 01 | Epoch 15/50 | Train: 0.018215 | Val: 0.018327
Fold 01 | Epoch 16/50 | Train: 0.017575 | Val: 0.017744
Fold 01 | Epoch 17/50 | Train: 0.016938 | Val: 0.017091
Fold 01 | Epoch 18/50 | Train: 0.016389 | Val: 0.016625
Fold 01 | Epoch 19/50 | Train: 0.015911 | Val: 0.016178
Fold 01 | Epoch 20/50 | Train: 0.015488 | Val: 0.015824
Fold 01 | Epoch 21/50 | Train: 0.015128 | Val: 0.015587
Fold 01 | Epoch 22/50 | Train: 0.014789 | Val: 0.015239
Fold 01 | Epoch 23/50 | Train: 0.014463 | Val: 0.014799
Fold 01 | Epoch 24/50 | Train: 0.014114 | Val: 0.014503
Fold 01 | Epoch 25/50 | Train: 0.013759 | Val: 0.014154
Fold 01 | Epoch 26/50 | Train: 0.013441 | Val: 0.013919
Fold 01 | Epoch 27/50 | Train: 0.013137 | Val: 0.013706
Fold 01 | Epoch 28/50 | Train: 0.012818 | Val: 0.013383
Fold 01 | Epoch 29/50 | Train: 0.012540 | Val: 0.013035
Fold 01 | Epoch 30/50 | Train: 0.012234 | Val: 0.012732
Fold 01 | Epoch 31/50 | Train: 0.011933 | Val: 0.012469
Fold 01 | Epoch 32/50 | Train: 0.011649 | Val: 0.012249
Fold 01 | Epoch 33/50 | Train: 0.011386 | Val: 0.012113
Fold 01 | Epoch 34/50 | Train: 0.011177 | Val: 0.011775
Fold 01 | Epoch 35/50 | Train: 0.010957 | Val: 0.011526
Fold 01 | Epoch 36/50 | Train: 0.010748 | Val: 0.011317
Fold 01 | Epoch 37/50 | Train: 0.010561 | Val: 0.011209
Fold 01 | Epoch 38/50 | Train: 0.010395 | Val: 0.011052
Fold 01 | Epoch 39/50 | Train: 0.010230 | Val: 0.010882
Fold 01 | Epoch 40/50 | Train: 0.010079 | Val: 0.010774
Fold 01 | Epoch 41/50 | Train: 0.009915 | Val: 0.010786
Fold 01 | Epoch 42/50 | Train: 0.009761 | Val: 0.010449
Fold 01 | Epoch 43/50 | Train: 0.009595 | Val: 0.010233
Fold 01 | Epoch 44/50 | Train: 0.009434 | Val: 0.010144
Fold 01 | Epoch 45/50 | Train: 0.009277 | Val: 0.009993
Fold 01 | Epoch 46/50 | Train: 0.009140 | Val: 0.009831
Fold 01 | Epoch 47/50 | Train: 0.009016 | Val: 0.009710
Fold 01 | Epoch 48/50 | Train: 0.008883 | Val: 0.009610
Fold 01 | Epoch 49/50 | Train: 0.008771 | Val: 0.009583
Fold 01 | Epoch 50/50 | Train: 0.008667 | Val: 0.009488

========== Fold 2/10 ==========
Fold 02 | Epoch 01/50 | Train: 0.063717 | Val: 0.056838
Fold 02 | Epoch 02/50 | Train: 0.052627 | Val: 0.049486
Fold 02 | Epoch 03/50 | Train: 0.045513 | Val: 0.041943
Fold 02 | Epoch 04/50 | Train: 0.037783 | Val: 0.033901
Fold 02 | Epoch 05/50 | Train: 0.031706 | Val: 0.029929
Fold 02 | Epoch 06/50 | Train: 0.028454 | Val: 0.027346
Fold 02 | Epoch 07/50 | Train: 0.026369 | Val: 0.025539
Fold 02 | Epoch 08/50 | Train: 0.024520 | Val: 0.023866
Fold 02 | Epoch 09/50 | Train: 0.023020 | Val: 0.022772
Fold 02 | Epoch 10/50 | Train: 0.021984 | Val: 0.021845
Fold 02 | Epoch 11/50 | Train: 0.021189 | Val: 0.021335
Fold 02 | Epoch 12/50 | Train: 0.020535 | Val: 0.020595
Fold 02 | Epoch 13/50 | Train: 0.019957 | Val: 0.020044
Fold 02 | Epoch 14/50 | Train: 0.019297 | Val: 0.019385
Fold 02 | Epoch 15/50 | Train: 0.018665 | Val: 0.018803
Fold 02 | Epoch 16/50 | Train: 0.017984 | Val: 0.017996
Fold 02 | Epoch 17/50 | Train: 0.017116 | Val: 0.017125
Fold 02 | Epoch 18/50 | Train: 0.016383 | Val: 0.016584
Fold 02 | Epoch 19/50 | Train: 0.015817 | Val: 0.016038
Fold 02 | Epoch 20/50 | Train: 0.015391 | Val: 0.015604
Fold 02 | Epoch 21/50 | Train: 0.015025 | Val: 0.015336
Fold 02 | Epoch 22/50 | Train: 0.014694 | Val: 0.015178
Fold 02 | Epoch 23/50 | Train: 0.014435 | Val: 0.015026
Fold 02 | Epoch 24/50 | Train: 0.014176 | Val: 0.014670
Fold 02 | Epoch 25/50 | Train: 0.013965 | Val: 0.014460
Fold 02 | Epoch 26/50 | Train: 0.013713 | Val: 0.014196
Fold 02 | Epoch 27/50 | Train: 0.013427 | Val: 0.013956
Fold 02 | Epoch 28/50 | Train: 0.013070 | Val: 0.013544
Fold 02 | Epoch 29/50 | Train: 0.012692 | Val: 0.013254
Fold 02 | Epoch 30/50 | Train: 0.012346 | Val: 0.012849
Fold 02 | Epoch 31/50 | Train: 0.012041 | Val: 0.012493
Fold 02 | Epoch 32/50 | Train: 0.011762 | Val: 0.012218
Fold 02 | Epoch 33/50 | Train: 0.011515 | Val: 0.012035
Fold 02 | Epoch 34/50 | Train: 0.011259 | Val: 0.011797
Fold 02 | Epoch 35/50 | Train: 0.011008 | Val: 0.011621
Fold 02 | Epoch 36/50 | Train: 0.010786 | Val: 0.011346
Fold 02 | Epoch 37/50 | Train: 0.010589 | Val: 0.011238
Fold 02 | Epoch 38/50 | Train: 0.010403 | Val: 0.011075
Fold 02 | Epoch 39/50 | Train: 0.010203 | Val: 0.011009
Fold 02 | Epoch 40/50 | Train: 0.010061 | Val: 0.010716
Fold 02 | Epoch 41/50 | Train: 0.009884 | Val: 0.010612
Fold 02 | Epoch 42/50 | Train: 0.009730 | Val: 0.010428
Fold 02 | Epoch 43/50 | Train: 0.009586 | Val: 0.010258
Fold 02 | Epoch 44/50 | Train: 0.009447 | Val: 0.010115
Fold 02 | Epoch 45/50 | Train: 0.009319 | Val: 0.010172
Fold 02 | Epoch 46/50 | Train: 0.009208 | Val: 0.010038
Fold 02 | Epoch 47/50 | Train: 0.009086 | Val: 0.009739
Fold 02 | Epoch 48/50 | Train: 0.008977 | Val: 0.009655
Fold 02 | Epoch 49/50 | Train: 0.008843 | Val: 0.009606
Fold 02 | Epoch 50/50 | Train: 0.008752 | Val: 0.009587

========== Fold 3/10 ==========
Fold 03 | Epoch 01/50 | Train: 0.063855 | Val: 0.056999
Fold 03 | Epoch 02/50 | Train: 0.052222 | Val: 0.048081
Fold 03 | Epoch 03/50 | Train: 0.043686 | Val: 0.039622
Fold 03 | Epoch 04/50 | Train: 0.036345 | Val: 0.033611
Fold 03 | Epoch 05/50 | Train: 0.031620 | Val: 0.030527
Fold 03 | Epoch 06/50 | Train: 0.029194 | Val: 0.028573
Fold 03 | Epoch 07/50 | Train: 0.027311 | Val: 0.026862
Fold 03 | Epoch 08/50 | Train: 0.025734 | Val: 0.025583
Fold 03 | Epoch 09/50 | Train: 0.024571 | Val: 0.024585
Fold 03 | Epoch 10/50 | Train: 0.023551 | Val: 0.023351
Fold 03 | Epoch 11/50 | Train: 0.022195 | Val: 0.022056
Fold 03 | Epoch 12/50 | Train: 0.021268 | Val: 0.021291
Fold 03 | Epoch 13/50 | Train: 0.020594 | Val: 0.020726
Fold 03 | Epoch 14/50 | Train: 0.019907 | Val: 0.020007
Fold 03 | Epoch 15/50 | Train: 0.019160 | Val: 0.019240
Fold 03 | Epoch 16/50 | Train: 0.018461 | Val: 0.018653
Fold 03 | Epoch 17/50 | Train: 0.017859 | Val: 0.018108
Fold 03 | Epoch 18/50 | Train: 0.017350 | Val: 0.017583
Fold 03 | Epoch 19/50 | Train: 0.016915 | Val: 0.017231
Fold 03 | Epoch 20/50 | Train: 0.016544 | Val: 0.017076
Fold 03 | Epoch 21/50 | Train: 0.016099 | Val: 0.016395
Fold 03 | Epoch 22/50 | Train: 0.015614 | Val: 0.016016
Fold 03 | Epoch 23/50 | Train: 0.015231 | Val: 0.015709
Fold 03 | Epoch 24/50 | Train: 0.014877 | Val: 0.015540
Fold 03 | Epoch 25/50 | Train: 0.014507 | Val: 0.015043
Fold 03 | Epoch 26/50 | Train: 0.014068 | Val: 0.014584
Fold 03 | Epoch 27/50 | Train: 0.013623 | Val: 0.014097
Fold 03 | Epoch 28/50 | Train: 0.013252 | Val: 0.013840
Fold 03 | Epoch 29/50 | Train: 0.012957 | Val: 0.013544
Fold 03 | Epoch 30/50 | Train: 0.012677 | Val: 0.013312
Fold 03 | Epoch 31/50 | Train: 0.012426 | Val: 0.012991
Fold 03 | Epoch 32/50 | Train: 0.012191 | Val: 0.012715
Fold 03 | Epoch 33/50 | Train: 0.011955 | Val: 0.012479
Fold 03 | Epoch 34/50 | Train: 0.011674 | Val: 0.012314
Fold 03 | Epoch 35/50 | Train: 0.011427 | Val: 0.012163
Fold 03 | Epoch 36/50 | Train: 0.011184 | Val: 0.011742
Fold 03 | Epoch 37/50 | Train: 0.010929 | Val: 0.011581
Fold 03 | Epoch 38/50 | Train: 0.010701 | Val: 0.011400
Fold 03 | Epoch 39/50 | Train: 0.010445 | Val: 0.011116
Fold 03 | Epoch 40/50 | Train: 0.010217 | Val: 0.010803
Fold 03 | Epoch 41/50 | Train: 0.010007 | Val: 0.010603
Fold 03 | Epoch 42/50 | Train: 0.009795 | Val: 0.010533
Fold 03 | Epoch 43/50 | Train: 0.009646 | Val: 0.010332
Fold 03 | Epoch 44/50 | Train: 0.009462 | Val: 0.010206
Fold 03 | Epoch 45/50 | Train: 0.009307 | Val: 0.009935
Fold 03 | Epoch 46/50 | Train: 0.009153 | Val: 0.009997
Fold 03 | Epoch 47/50 | Train: 0.009013 | Val: 0.009786
Fold 03 | Epoch 48/50 | Train: 0.008873 | Val: 0.009502
Fold 03 | Epoch 49/50 | Train: 0.008762 | Val: 0.009385
Fold 03 | Epoch 50/50 | Train: 0.008618 | Val: 0.009400

========== Fold 4/10 ==========
Fold 04 | Epoch 01/50 | Train: 0.063232 | Val: 0.055690
Fold 04 | Epoch 02/50 | Train: 0.052439 | Val: 0.048299
Fold 04 | Epoch 03/50 | Train: 0.043602 | Val: 0.039152
Fold 04 | Epoch 04/50 | Train: 0.035583 | Val: 0.032446
Fold 04 | Epoch 05/50 | Train: 0.031082 | Val: 0.029941
Fold 04 | Epoch 06/50 | Train: 0.028963 | Val: 0.028031
Fold 04 | Epoch 07/50 | Train: 0.026510 | Val: 0.025285
Fold 04 | Epoch 08/50 | Train: 0.024365 | Val: 0.023567
Fold 04 | Epoch 09/50 | Train: 0.022934 | Val: 0.022435
Fold 04 | Epoch 10/50 | Train: 0.021922 | Val: 0.021624
Fold 04 | Epoch 11/50 | Train: 0.021115 | Val: 0.020888
Fold 04 | Epoch 12/50 | Train: 0.020362 | Val: 0.020150
Fold 04 | Epoch 13/50 | Train: 0.019557 | Val: 0.019439
Fold 04 | Epoch 14/50 | Train: 0.018973 | Val: 0.018983
Fold 04 | Epoch 15/50 | Train: 0.018492 | Val: 0.018542
Fold 04 | Epoch 16/50 | Train: 0.017920 | Val: 0.017871
Fold 04 | Epoch 17/50 | Train: 0.017269 | Val: 0.017495
Fold 04 | Epoch 18/50 | Train: 0.016701 | Val: 0.016648
Fold 04 | Epoch 19/50 | Train: 0.016097 | Val: 0.016258
Fold 04 | Epoch 20/50 | Train: 0.015593 | Val: 0.015795
Fold 04 | Epoch 21/50 | Train: 0.015156 | Val: 0.015394
Fold 04 | Epoch 22/50 | Train: 0.014788 | Val: 0.015149
Fold 04 | Epoch 23/50 | Train: 0.014388 | Val: 0.014612
Fold 04 | Epoch 24/50 | Train: 0.013939 | Val: 0.014202
Fold 04 | Epoch 25/50 | Train: 0.013467 | Val: 0.013647
Fold 04 | Epoch 26/50 | Train: 0.013022 | Val: 0.013273
Fold 04 | Epoch 27/50 | Train: 0.012608 | Val: 0.012848
Fold 04 | Epoch 28/50 | Train: 0.012247 | Val: 0.012581
Fold 04 | Epoch 29/50 | Train: 0.011959 | Val: 0.012363
Fold 04 | Epoch 30/50 | Train: 0.011686 | Val: 0.012055
Fold 04 | Epoch 31/50 | Train: 0.011447 | Val: 0.011857
Fold 04 | Epoch 32/50 | Train: 0.011229 | Val: 0.011738
Fold 04 | Epoch 33/50 | Train: 0.010992 | Val: 0.011507
Fold 04 | Epoch 34/50 | Train: 0.010768 | Val: 0.011212
Fold 04 | Epoch 35/50 | Train: 0.010550 | Val: 0.010982
Fold 04 | Epoch 36/50 | Train: 0.010337 | Val: 0.010786
Fold 04 | Epoch 37/50 | Train: 0.010150 | Val: 0.010634
Fold 04 | Epoch 38/50 | Train: 0.009967 | Val: 0.010474
Fold 04 | Epoch 39/50 | Train: 0.009823 | Val: 0.010414
Fold 04 | Epoch 40/50 | Train: 0.009655 | Val: 0.010107
Fold 04 | Epoch 41/50 | Train: 0.009508 | Val: 0.010058
Fold 04 | Epoch 42/50 | Train: 0.009391 | Val: 0.009940
Fold 04 | Epoch 43/50 | Train: 0.009236 | Val: 0.009790
Fold 04 | Epoch 44/50 | Train: 0.009115 | Val: 0.009670
Fold 04 | Epoch 45/50 | Train: 0.008980 | Val: 0.009607
Fold 04 | Epoch 46/50 | Train: 0.008861 | Val: 0.009466
Fold 04 | Epoch 47/50 | Train: 0.008722 | Val: 0.009305
Fold 04 | Epoch 48/50 | Train: 0.008622 | Val: 0.009281
Fold 04 | Epoch 49/50 | Train: 0.008523 | Val: 0.009113
Fold 04 | Epoch 50/50 | Train: 0.008409 | Val: 0.009022

========== Fold 5/10 ==========
Fold 05 | Epoch 01/50 | Train: 0.063860 | Val: 0.056225
Fold 05 | Epoch 02/50 | Train: 0.052280 | Val: 0.048061
Fold 05 | Epoch 03/50 | Train: 0.045222 | Val: 0.042196
Fold 05 | Epoch 04/50 | Train: 0.038437 | Val: 0.035372
Fold 05 | Epoch 05/50 | Train: 0.033364 | Val: 0.031518
Fold 05 | Epoch 06/50 | Train: 0.030284 | Val: 0.029328
Fold 05 | Epoch 07/50 | Train: 0.028411 | Val: 0.027619
Fold 05 | Epoch 08/50 | Train: 0.026509 | Val: 0.025929
Fold 05 | Epoch 09/50 | Train: 0.024935 | Val: 0.024351
Fold 05 | Epoch 10/50 | Train: 0.023501 | Val: 0.023085
Fold 05 | Epoch 11/50 | Train: 0.022402 | Val: 0.022137
Fold 05 | Epoch 12/50 | Train: 0.021555 | Val: 0.021414
Fold 05 | Epoch 13/50 | Train: 0.020649 | Val: 0.020488
Fold 05 | Epoch 14/50 | Train: 0.019850 | Val: 0.019940
Fold 05 | Epoch 15/50 | Train: 0.019241 | Val: 0.019330
Fold 05 | Epoch 16/50 | Train: 0.018672 | Val: 0.018711
Fold 05 | Epoch 17/50 | Train: 0.017928 | Val: 0.017907
Fold 05 | Epoch 18/50 | Train: 0.017095 | Val: 0.017228
Fold 05 | Epoch 19/50 | Train: 0.016377 | Val: 0.016698
Fold 05 | Epoch 20/50 | Train: 0.015779 | Val: 0.015920
Fold 05 | Epoch 21/50 | Train: 0.015278 | Val: 0.015572
Fold 05 | Epoch 22/50 | Train: 0.014866 | Val: 0.015191
Fold 05 | Epoch 23/50 | Train: 0.014497 | Val: 0.014818
Fold 05 | Epoch 24/50 | Train: 0.014193 | Val: 0.014597
Fold 05 | Epoch 25/50 | Train: 0.013929 | Val: 0.014621
Fold 05 | Epoch 26/50 | Train: 0.013685 | Val: 0.014268
Fold 05 | Epoch 27/50 | Train: 0.013425 | Val: 0.014033
Fold 05 | Epoch 28/50 | Train: 0.013163 | Val: 0.013778
Fold 05 | Epoch 29/50 | Train: 0.012822 | Val: 0.013350
Fold 05 | Epoch 30/50 | Train: 0.012518 | Val: 0.013032
Fold 05 | Epoch 31/50 | Train: 0.012231 | Val: 0.012713
Fold 05 | Epoch 32/50 | Train: 0.011972 | Val: 0.012541
Fold 05 | Epoch 33/50 | Train: 0.011725 | Val: 0.012312
Fold 05 | Epoch 34/50 | Train: 0.011494 | Val: 0.012054
Fold 05 | Epoch 35/50 | Train: 0.011290 | Val: 0.012030
Fold 05 | Epoch 36/50 | Train: 0.011062 | Val: 0.011752
Fold 05 | Epoch 37/50 | Train: 0.010828 | Val: 0.011490
Fold 05 | Epoch 38/50 | Train: 0.010626 | Val: 0.011232
Fold 05 | Epoch 39/50 | Train: 0.010445 | Val: 0.011146
Fold 05 | Epoch 40/50 | Train: 0.010287 | Val: 0.010934
Fold 05 | Epoch 41/50 | Train: 0.010104 | Val: 0.010734
Fold 05 | Epoch 42/50 | Train: 0.009956 | Val: 0.010963
Fold 05 | Epoch 43/50 | Train: 0.009791 | Val: 0.010515
Fold 05 | Epoch 44/50 | Train: 0.009648 | Val: 0.010433
Fold 05 | Epoch 45/50 | Train: 0.009509 | Val: 0.010284
Fold 05 | Epoch 46/50 | Train: 0.009389 | Val: 0.010053
Fold 05 | Epoch 47/50 | Train: 0.009275 | Val: 0.010022
Fold 05 | Epoch 48/50 | Train: 0.009157 | Val: 0.009886
Fold 05 | Epoch 49/50 | Train: 0.009062 | Val: 0.009920
Fold 05 | Epoch 50/50 | Train: 0.008965 | Val: 0.009739

========== Fold 6/10 ==========
Fold 06 | Epoch 01/50 | Train: 0.063605 | Val: 0.056348
Fold 06 | Epoch 02/50 | Train: 0.052201 | Val: 0.048466
Fold 06 | Epoch 03/50 | Train: 0.044974 | Val: 0.042271
Fold 06 | Epoch 04/50 | Train: 0.039185 | Val: 0.036346
