
========== Fold 1/10 ==========
Fold 01 | Epoch 01/50 | Train: 0.063528 | Val: 0.055817
Fold 01 | Epoch 02/50 | Train: 0.052234 | Val: 0.047628
Fold 01 | Epoch 03/50 | Train: 0.042683 | Val: 0.037721
Fold 01 | Epoch 04/50 | Train: 0.034455 | Val: 0.032542
Fold 01 | Epoch 05/50 | Train: 0.030986 | Val: 0.029918
Fold 01 | Epoch 06/50 | Train: 0.028373 | Val: 0.027378
Fold 01 | Epoch 07/50 | Train: 0.025914 | Val: 0.024884
Fold 01 | Epoch 08/50 | Train: 0.023806 | Val: 0.023326
Fold 01 | Epoch 09/50 | Train: 0.022510 | Val: 0.022297
Fold 01 | Epoch 10/50 | Train: 0.021625 | Val: 0.021575
Fold 01 | Epoch 11/50 | Train: 0.020906 | Val: 0.021003
Fold 01 | Epoch 12/50 | Train: 0.020272 | Val: 0.020478
Fold 01 | Epoch 13/50 | Train: 0.019512 | Val: 0.019470
Fold 01 | Epoch 14/50 | Train: 0.018589 | Val: 0.018515
Fold 01 | Epoch 15/50 | Train: 0.017858 | Val: 0.017996
Fold 01 | Epoch 16/50 | Train: 0.017301 | Val: 0.017454
Fold 01 | Epoch 17/50 | Train: 0.016804 | Val: 0.017031
Fold 01 | Epoch 18/50 | Train: 0.016313 | Val: 0.016556
Fold 01 | Epoch 19/50 | Train: 0.015703 | Val: 0.015932
Fold 01 | Epoch 20/50 | Train: 0.015203 | Val: 0.015434
Fold 01 | Epoch 21/50 | Train: 0.014805 | Val: 0.015218
Fold 01 | Epoch 22/50 | Train: 0.014446 | Val: 0.014812
Fold 01 | Epoch 23/50 | Train: 0.014113 | Val: 0.014549
Fold 01 | Epoch 24/50 | Train: 0.013728 | Val: 0.014215
Fold 01 | Epoch 25/50 | Train: 0.013346 | Val: 0.013692
Fold 01 | Epoch 26/50 | Train: 0.012965 | Val: 0.013365
Fold 01 | Epoch 27/50 | Train: 0.012598 | Val: 0.012920
Fold 01 | Epoch 28/50 | Train: 0.012206 | Val: 0.012695
Fold 01 | Epoch 29/50 | Train: 0.011886 | Val: 0.012454
Fold 01 | Epoch 30/50 | Train: 0.011606 | Val: 0.012090
Fold 01 | Epoch 31/50 | Train: 0.011333 | Val: 0.011833
Fold 01 | Epoch 32/50 | Train: 0.011056 | Val: 0.011594
Fold 01 | Epoch 33/50 | Train: 0.010800 | Val: 0.011294
Fold 01 | Epoch 34/50 | Train: 0.010585 | Val: 0.011174
Fold 01 | Epoch 35/50 | Train: 0.010372 | Val: 0.010896
Fold 01 | Epoch 36/50 | Train: 0.010167 | Val: 0.010800
Fold 01 | Epoch 37/50 | Train: 0.009981 | Val: 0.010578
Fold 01 | Epoch 38/50 | Train: 0.009791 | Val: 0.010375
Fold 01 | Epoch 39/50 | Train: 0.009613 | Val: 0.010309
Fold 01 | Epoch 40/50 | Train: 0.009457 | Val: 0.010033
Fold 01 | Epoch 41/50 | Train: 0.009289 | Val: 0.009959
Fold 01 | Epoch 42/50 | Train: 0.009136 | Val: 0.009943
Fold 01 | Epoch 43/50 | Train: 0.008997 | Val: 0.009694
Fold 01 | Epoch 44/50 | Train: 0.008863 | Val: 0.009712
Fold 01 | Epoch 45/50 | Train: 0.008692 | Val: 0.009348
Fold 01 | Epoch 46/50 | Train: 0.008554 | Val: 0.009187
Fold 01 | Epoch 47/50 | Train: 0.008406 | Val: 0.009076
Fold 01 | Epoch 48/50 | Train: 0.008287 | Val: 0.008998
Fold 01 | Epoch 49/50 | Train: 0.008165 | Val: 0.009000
Fold 01 | Epoch 50/50 | Train: 0.008074 | Val: 0.008778

========== Fold 2/10 ==========
Fold 02 | Epoch 01/50 | Train: 0.063620 | Val: 0.056168
Fold 02 | Epoch 02/50 | Train: 0.052099 | Val: 0.047751
Fold 02 | Epoch 03/50 | Train: 0.043866 | Val: 0.038096
Fold 02 | Epoch 04/50 | Train: 0.034309 | Val: 0.031802
Fold 02 | Epoch 05/50 | Train: 0.030580 | Val: 0.029302
Fold 02 | Epoch 06/50 | Train: 0.028138 | Val: 0.027123
