
========== Fold 1/10 ==========
Fold 02 | Epoch 39/50 | Train: 0.009027 | Val: 0.009665
Fold 02 | Epoch 40/50 | Train: 0.008857 | Val: 0.009530
Fold 02 | Epoch 41/50 | Train: 0.008707 | Val: 0.009260
Fold 02 | Epoch 42/50 | Train: 0.008553 | Val: 0.009215
Fold 02 | Epoch 43/50 | Train: 0.008417 | Val: 0.009117
Fold 02 | Epoch 44/50 | Train: 0.008287 | Val: 0.008969
Fold 02 | Epoch 45/50 | Train: 0.008150 | Val: 0.008927
Fold 02 | Epoch 46/50 | Train: 0.008043 | Val: 0.008657
Fold 02 | Epoch 47/50 | Train: 0.007905 | Val: 0.008563
Fold 02 | Epoch 48/50 | Train: 0.007777 | Val: 0.008405
Fold 02 | Epoch 49/50 | Train: 0.007664 | Val: 0.008276
Fold 02 | Epoch 50/50 | Train: 0.007543 | Val: 0.008437

========== Fold 3/10 ==========
Fold 03 | Epoch 01/50 | Train: 0.063569 | Val: 0.056059
Fold 03 | Epoch 02/50 | Train: 0.051662 | Val: 0.047801
Fold 03 | Epoch 03/50 | Train: 0.042711 | Val: 0.037325
Fold 03 | Epoch 04/50 | Train: 0.034150 | Val: 0.032216
Fold 03 | Epoch 05/50 | Train: 0.030348 | Val: 0.029095
Fold 03 | Epoch 06/50 | Train: 0.027499 | Val: 0.026266
Fold 03 | Epoch 07/50 | Train: 0.024721 | Val: 0.024072
Fold 03 | Epoch 08/50 | Train: 0.023071 | Val: 0.022796
Fold 03 | Epoch 09/50 | Train: 0.021834 | Val: 0.021798
Fold 03 | Epoch 10/50 | Train: 0.020669 | Val: 0.020743
Fold 03 | Epoch 11/50 | Train: 0.019735 | Val: 0.019618
Fold 03 | Epoch 12/50 | Train: 0.018773 | Val: 0.018694
Fold 03 | Epoch 13/50 | Train: 0.017841 | Val: 0.017652
Fold 03 | Epoch 14/50 | Train: 0.016906 | Val: 0.017045
Fold 03 | Epoch 15/50 | Train: 0.016129 | Val: 0.016134
