checkpoint,latent_dim,k,standardized,accuracy,macro_f1,weighted_f1
latent100.eqx,100,1,True,0.9733,0.9729193565097146,0.9732737704374985
latent100.eqx,100,3,True,0.9758,0.9755267366899847,0.9757830808309158
latent100.eqx,100,5,True,0.9767,0.9764486572497846,0.9766864962909112
latent100.eqx,100,10,True,0.9769,0.9766585041821824,0.9768846026176329
latent100.eqx,100,20,True,0.9747,0.9745019202814909,0.9746943660206198
