checkpoint,source_class,target_class,n_source,n_target,latent_dim,target_total_variance,transported_total_variance,total_variance_ratio,target_mean_variance,transported_mean_variance,mean_variance_ratio,target_mean_sq_radius,transported_mean_sq_radius,mean_sq_radius_ratio,target_var_per_dim,transported_var_per_dim
models/latent1.eqx,0,1,980,1135,1,0.019945282489061356,6.0758698054996785e-06,0.00030462675886211654,0.019945282489061356,6.0758698054996785e-06,0.00030462675886211654,0.019945282489061356,6.0758698054996785e-06,0.00030462675886211654,[0.019945282489061356],[6.0758698054996785e-06]
models/latent1.eqx,0,2,980,1032,1,0.016505751758813858,0.0036145371850579977,0.21898639019964544,0.016505751758813858,0.0036145371850579977,0.21898639019964544,0.016505751758813858,0.0036145371850579977,0.21898639019964544,[0.016505751758813858],[0.0036145371850579977]
models/latent1.eqx,0,3,980,1010,1,0.07671365141868591,0.01600876823067665,0.20868210348225194,0.07671365141868591,0.01600876823067665,0.20868210348225194,0.07671365141868591,0.01600876823067665,0.20868210348225194,[0.07671365141868591],[0.01600876823067665]
models/latent1.eqx,0,4,980,982,1,0.006544825155287981,0.0004100570804439485,0.06265353835728586,0.006544825155287981,0.0004100570804439485,0.06265353835728586,0.006544825155287981,0.0004100570804439485,0.06265353835728586,[0.006544825155287981],[0.0004100570804439485]
models/latent1.eqx,0,5,980,892,1,0.1839287281036377,0.007688418496400118,0.041801072391786605,0.1839287281036377,0.007688418496400118,0.041801072391786605,0.1839287281036377,0.007688418496400118,0.041801072391786605,[0.1839287281036377],[0.007688418496400118]
models/latent1.eqx,0,6,980,958,1,0.02332504652440548,0.003201768733561039,0.13726735153721764,0.02332504652440548,0.003201768733561039,0.13726735153721764,0.02332504652440548,0.003201768733561039,0.13726735153721764,[0.02332504652440548],[0.003201768733561039]
models/latent1.eqx,0,7,980,1028,1,0.012003935873508453,0.00019019808678422123,0.015844630489710056,0.012003935873508453,0.00019019808678422123,0.015844630489710056,0.012003935873508453,0.00019019808678422123,0.015844630489710056,[0.012003935873508453],[0.00019019808678422123]
models/latent1.eqx,0,8,980,974,1,0.11878542602062225,0.003975891042500734,0.0334711996326762,0.11878542602062225,0.003975891042500734,0.0334711996326762,0.11878542602062225,0.003975891042500734,0.0334711996326762,[0.11878542602062225],[0.003975891042500734]
models/latent1.eqx,0,9,980,1009,1,0.015140246599912643,0.00045974060776643455,0.030365443592883835,0.015140246599912643,0.00045974060776643455,0.030365443592883835,0.015140246599912643,0.00045974060776643455,0.030365443592883835,[0.015140246599912643],[0.00045974060776643455]
models/latent1.eqx,1,0,1135,980,1,0.081256203353405,1.3227006093075033e-05,0.00016278147291392043,0.081256203353405,1.3227006093075033e-05,0.00016278147291392043,0.081256203353405,1.3227006093075033e-05,0.00016278147291392043,[0.081256203353405],[1.3227006093075033e-05]
models/latent1.eqx,1,2,1135,1032,1,0.016505751758813858,0.00019811082165688276,0.012002525212209257,0.016505751758813858,0.00019811082165688276,0.012002525212209257,0.016505751758813858,0.00019811082165688276,0.012002525212209257,[0.016505751758813858],[0.00019811082165688276]
